title,abstract
Climate change the physical science basis,The Climate Change volumes of the Fourth Assessment Report of the Intergovernmental Panel on Climate Change IPCC provide the most comprehensive and balanced assessment of climate change available This IPCC Working Group I report brings us completely uptodate on the full range of scientific aspects of climate change Written by the worlds leading experts the IPCC volumes will again prove to be invaluable for researchers students and policymakers and will form the standard reference works for policy decisions for government and industry worldwide
The next generation of scenarios for climate change research and assessment,Advances in the science and observation of climate change are providing a clearer understanding of the inherent variability of Earths climate system and its likely response to human and natural influences The implications of climate change for the environment and society will depend not only on the response of the Earth system to changes in radiative forcings but also on how humankind responds through changes in technology economies lifestyle and policy Extensive uncertainties exist in future forcings of and responses to climate change necessitating the use of scenarios of the future to explore the potential consequences of different response options To date such scenarios have not adequately examined crucial possibilities such as climate change mitigation and adaptation and have relied on research processes that slowed the exchange of information among physical biological and social scientists Here we describe a new process for creating plausible scenarios to investigate some of the most challenging and important questions about climate change confronting the global community
Digest of United Kingdom Energy Statistics ,This issue of the Digest of United Kingdom Energy Statistics DUKES continues a series which commenced with the Ministry of Fuel and Power Statistical Digest for the years and published in The Ministry of Fuel and Power Statistical Digest was previously published as a Command Paper the first being that for the years to published in July Cmd A publication tracing the history of energy production and use over the past years was produced in to mark the th anniversary of DUKES The publication is available at
Climate change deforestation and the fate of the Amazon,The forest biome of Amazonia is one of Earths greatest biological treasures and a major component of the Earth system This century it faces the dual threats of deforestation and stress from climate change Here we summarize some of the latest findings and thinking on these threats explore the consequences for the forest ecosystem and its human residents and outline options for the future of Amazonia We also discuss the implications of new proposals to finance preservation of Amazonian forests
Summary for policymakers,The Synthesis Report SYR constituting the final product of the Fifth Assessment Report AR of the Intergovernmental Panel on Climate Change IPCC is published under the title Climate Change This report distils synthesizes and integrates the key findings of the three Working Group contributions – The Physical Science Basis Impacts Adaptation and Vulnerability and Mitigation of Climate Change – to the AR in a concise document for the benefit of decision makers in the government the private sector as well as the public at large The SYR also draws on the findings of the two Special Reports brought out in dealing with Renewable Energy Sources and Climate Change Mitigation and Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation The SYR therefore is a comprehensive uptodate compilation of assessments dealing with climate change based on the most recent scientific technical and socioeconomic literature in the field
Electricity market reform policy overview,The Governments energy and climate change goals are to deliver secure energy on the way to a sustainable low carbon future and drive ambitious action on climate change at home and abroad To achieve this it is critical that we address both security of supply and climate change challenges while maximising the benefits and minimising costs for consumers and taxpayers Nowhere in our energy policy are these challenges more evident than in the electricity sector
Observations Changes in snow ice and frozen ground,Lemke P J Ren RB Alley I Allison J Carrasco G Flato Y Fujii G Kaser P Mote RH Thomas and T Zhang Observations Changes in Snow Ice and Frozen Ground In Climate Change The Physical Science Basis Contribution of Working Group I to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change [Solomon S D Qin M Manning Z Chen M Marquis KB Averyt M Tignor and HL Miller eds] Cambridge University Press Cambridge United Kingdom and New York NY USA
Climate change mitigation of climate change contribution of Working Group III to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change,The Fourth Assessment Report of the Intergovernmental Panel on Climate Change IPCC provide the most comprehensive and balanced assessment of climate change available This IPCC Working Group III volume is a stateoftheart assessment of the scientific technical environmental economic and social aspects of the mitigation of climate change Written by the worlds leading experts the IPCC volumes will again prove to be invaluable for researchers students and policymakers and will form the standard reference works for policy decisions for government and industry worldwide
Ground water and climate change,As the worlds largest distributed store of fresh water ground water plays a central part in sustaining ecosystems and enabling human adaptation to climate variability and change The strategic importance of ground water for global water and food security will probably intensify under climate change as more frequent and intense climate extremes droughts and floods increase variability in precipitation soil moisture and surface water Here we critically review recent research assessing the impacts of climate on ground water through natural and humaninduced processes as well as through groundwaterdriven feedbacks on the climate system Furthermore we examine the possible opportunities and challenges of using and sustaining groundwater resources in climate adaptation strategies and highlight the lack of groundwater observations which at present limits our understanding of the dynamic relationship between ground water and climate
Global climate change,A succession of environmental events over the last few years has led to a dramatically increased awareness of the issue of global climate change and to the conviction that global climate change is occurring The anticipated global climate changes are new and unique in that they will have been generated by human activity and could result in largescale disruptions in ecosystems altering the suitability for organisms currently occupying them The goals of both conservation biology and agriculture of feeding an increasing world population and preserving species diversity may be seriously challenged when linked to climate change Anticipated atmospheric changes in precipitation patterns temperature and greenhouse gases could have extreme effects on species and ecosystems Human systems could also be affected especially those based on coastal wetlands or shared river basins Agriculture will be profoundly affected with local regional and global changes occurring Species distribution is likely to be drastically altered as a consequence of global warming © 
Mid to Late Holocene climate change an overview,The last years are of particular interest to the understanding of the Earth System because the boundary conditions of the climate system did not change dramatically in comparison to larger glacialinterglacial changes and because abundant detailed regional palaeoclimatic proxy records cover this period We use selected proxybased reconstructions of different climate variables together with stateoftheart time series of natural forcings orbital variations solar activity variations large tropical volcanic eruptions land cover and greenhouse gases underpinned by results from General Circulation Models GCMs and Earth System Models of Intermediate Complexity EMICs to establish a comprehensive explanatory framework for climate changes from the MidHolocene MH to preindustrial time The redistribution of solar energy due to orbital forcing on a millennial timescale was the cause of a progressive southward shift of the Northern Hemisphere NH summer position of the Intertropical Convergence Zone ITCZ This was accompanied by a pronounced weakening of the monsoon systems in Africa and Asia and increasing dryness and desertification on both continents The associated summertime cooling of the NH combined with changing temperature gradients in the world oceans likely led to an increasing amplitude of the El Niño Southern Oscillation ENSO and possibly increasingly negative North Atlantic Oscillation NAO indices up to the beginning of the last millennium On decadal to multicentury timescales a worldwide coincidence between solar irradiance minima tropical volcanic eruptions and decadal to multicentury scale cooling events was not found However reconstructions show that widespread decadal to multicentury scale cooling events accompanied by advances of mountain glaciers occurred in the NH eg in Scandinavia and the European Alps This occurred namely during the Little Ice Age LIA between AD ∼ and when the lower summer insolation in the NH due to orbital forcing coincided with solar activity minima and several strong tropical volcanic eruptions The role of orbital forcing in the NH cooling the southward ITCZ shift and the desertification of the Sahara are supported by numerous model simulations Other simulations have suggested that the fingerprint of solar activity variations should be strongest in the tropics but there is also evidence that changes in the ocean heat transport took place during the LIA at high northern latitudes with possible additional implications for climates of the Southern Hemisphere SH © Elsevier Ltd All rights reserved
Understanding and Attributing Climate Change,Public attitudes about climate change reveal a contradiction Surveys show most Americans believe climate change poses serious risks but also that reductions in greenhouse gas GHG emissions sufficient to stabilize atmospheric GHG concentrations can be deferred until there is greater evidence that climate change is harmful US policymakers likewise argue it is prudent to wait and see whether climate change will cause substantial economic harm before undertaking policies to reduce emissions Such waitandsee policies erroneously presume climate change can be reversed quickly should harm become evident underestimating substantial delays in the climates response to anthropogenic forcing We report experiments with highly educated adults graduate students at MIT showing widespread misunderstanding of the fundamental stock and flow relationships including mass balance principles that lead to long response delays GHG emissions are now about twice the rate of GHG removal from the atmosphere GHG concentrations will therefore continue to rise even if emissions fall stabilizing only when emissions equal removal In contrast most subjects believe atmospheric GHG concentrations can be stabilized while emissions into the atmosphere continuously exceed the removal of GHGs from it These beliefs analogous to arguing a bathtub filled faster than it drains will never overflow support waitandsee policies but violate conservation of matter Low public support for mitigation policies may arise from misconceptions of climate dynamics rather than high discount rates or uncertainty about the impact of climate change Implications for education and communication between scientists and nonscientists the public and policymakers are discussed
The Economics of Climate Change,Professor Sir Nicholas Stern is Adviser to the UK Government on the economics of climate change and development and Head of the Government Economic Service He leads the Stern Review on the Economics of Climate Change reporting to the United Kingdoms Chancellor of the Exchequer and to the Prime Minister The report will be published in Autumn The article which sets out some of the issues under consideration is based on the lecture What is the Economics of Climate Change given at OXONIA The Oxford Institute for Economic Policy as part of their Distinguished Lecture Series on January The author would like to thank his team for their work in helping him to develop his thinking on climate change and to prepare this article See also in this issue his Reply to Byatt et al pp –
Expert credibility in climate change,Although preliminary estimates from published literature and expert surveys suggest striking agreement among climate scientists on the tenets of anthropogenic climate change ACC the American public expresses substantial doubt about both the anthropogenic cause and the level of scientific agreement underpinning ACC A broad analysis of the climate scientist community itself the distribution of credibility of dissenting researchers relative to agreeing researchers and the level of agreement among top climate experts has not been conducted and would inform future ACC discussions Here we use an extensive dataset of climate researchers and their publication and citation data to show that i – of the climate researchers most actively publishing in the field surveyed here support the tenets of ACC outlined by the Intergovernmental Panel on Climate Change and ii the relative climate expertise and scientific prominence of the researchers unconvinced of ACC are substantially below that of the convinced researchers
